text,label
A total population of 6148 is getting the benefit of safe potable drinking water due to this initiative.,yes
WRAP — PPL Electric’s Winter Relief Assistance Program — helps customers with limited incomes reduce their home energy use and lower their electric bills.,yes
We believe that this power monitoring will help HCM's plant reforms in future through its goal of achieving lower environmental impact and costs with higher energy productivity.,yes
"Because solvents are not used, the inks produce almost no volatile organic compounds (VOCs), which also greatly reduce negative impact in work environments.",yes
"So it's going to be gradual but to get to a 55% by the end of the year or for the year, we're starting at a place that's 56.7%.",no
"Even so, we plan to meet our sales and profit targets, thanks to growth in the service business and steady progress on the construction of large-scale domestic thermal power plants for which we have already received orders.",no
"In Europe, all of our pulp and paper mills fall under the EU Emissions Trading Scheme (EU ETS) and in South Africa, the government has committed to introduce a carbon tax.",no
"The integration of fuel (upstream and procurement), existing overseas power generation, and energy infrastructure businesses was completed in July 2016, when the company started its full-scale operation as one of the leading energy companies in the world.",no
"During Capital Markets Day 2020, Hydro announced a new and extended improvement ambition, now aiming to achieve improvements of NOK 8.5 billion by 2025.",no
New buildings are BREEAM-certified to provide for good overall energy and environmental quality.,yes
"John, I know you want to add anything at a high level to that.",no
I think all businesses have made their commitment in looking at the overall spending plan and make sure we are basically doing everything we can to become more efficient.,no
"Like as an example, for 2 decades, we have had VP of Sales, but we didn't have VP of Customer Retention.",no
The Commitment to Life Program consists of actions focused on preventing accidents and preserving life and the environment.,yes
"To this end, Eiffage Route introduced a roadmap for the 2012–2015 period, including 12 per- formance indicators to measure raw material and energy consumption for product manufacturing activities in each region.",no
"And as you saw, we -- in the 2.7 agreement -- or announcement, I should say, we expect to delever over the next couple of years down to levels that are similar to where we stand today.",no
Hydrocarbon spills with an environmental impact: spills with a volume greater than 1 barrel (≈159 liters) are counted.,no
All operations at Panasonic Eco Technology Center are now powered by electricity derived from 100% renewable energy.,yes
"And as Brent said, given the environment that we are in today, but what you see is that management has adjusted the expense level to withstand a little bit of this low wind environment.",no
"And also, because of new contract arrangements flowing in different pressures and such, our fuel usage is much lower.",no
No we’re including the puts and takes and just to talk a little bit about the transition.,no
We've also said that we've looked at all the possibilities of things that would be of interest to us.,no
"For us, it's all about the software, it's not about anything else.",no
"We have relationships with companies like waste management, the significant partners, to help us manage that.",no
But it's certainly a hefty investment that needs to be made in our state for renewable energy in order to meet that portfolio of standard.,no
"But we will continue to look at larger opportunities, and for the most part, Robyn, those would be in our 6 areas of focus, therapeutic focus.",no
"The Group’s shareholders’ equity includes issued ordinary shares, retained earnings and reserves.",no
"If treated in an environmentally responsible way, primary sludge can be sold for different applications, such as shoe insoles, core for electronic cards and many others.",yes
This “factory 4.0” solution was chosen by the Executive Management of EDF's nuclear fleet and is currently being deployed in all 58 nuclear generation units in France.,no
We had great newness in our stores to start the new year and our store team did a terrific job of recovering after the holidays and we offered our guest a very strong in-store shopping experience.,no
"Eiffage Énergie Systèmes designs, builds, maintains and operates every kind of power station, including photovoltaic solar, thermal solar, wind-powered, hydroelectric and biomass.",no
"So it's a journey, but we've made of massive amount of progress architecturally in the last several years moving our entire company there.",no
"Our cost-effective fibre-based solutions are made from a renewable resource, and are lightweight, recyclable and biodegradable.",yes
We reduced our GHG intensity to 58 g CO2e/kWh in 2020.,yes
We are working to mitigate the physical impacts of climate change where we can and consider resource efficiency when making operational decisions.,yes
"In common with other UK pension schemes, whilst the fund is invested in oil, gas and other resource companies, the fund is also made up of significant holdings in renewable energy assets.",no
We're probably looking at maybe a 30 to 40 basis point increase as we sit here today.,no
"Our larg- est onshore wind farm in the UK, Pen y Cymoedd (228 MW), began operating at full capacity.",no
"In addition, it continued with the construction of the Shuaibah desalination plant in Saudi Arabia, the Salalah plant in Oman and the Susa plant in Tunisia.",no
"Its members collectively commit to transition their investment portfolios to net-zero greenhouse gas emissions by 2050, with united investor action to align portfolios with a 1.5°C scenario.",yes
We're in all the key swing states in very big ways.,no
The redevelopment also features Hammerson’s second carbon neutral Costa Eco Pod and the first Denny’s American Diner in the UK.,no
All pension fund clients have a target for carbon reduction of the equity investments.,yes
"So it's nice to see that people are recognizing the impact that our business has, in a positive way, on jobs in the region, and we still remain sensitive and committed to our Water First approach at Conga.",no
This includes developing water products with increased vitamin and mineral levels.,no
"And as we look to get to our 60%, plus or minus, by 2019, we've got to annually run in the 50% to 60% incremental margin range.",no
"And we also have another condominium project down on the Lower East Side here, which is going to be coming online, I think, by the end of the year, down on Second Avenue.",no
"We contribute to energy efficiency through storage control technologies that support energy management, as well as through “the visualization of energy use“ and other advanced initiatives.",yes
"It launched a civil suit pertaining to acts allegedly committed by the above-mentioned former supplier, as well as two former Directors and other individuals.",no
"And we continue to strive the balance on our rolling 4-quarters basis, the investments we make on gross and the reductions in our cost.",no
"And so when we move all the items through and looked at what we expect the return of profitability in 2010, we did have impairment.",no
"Renewables correspond to onshore and offshore wind, concentrated solar power and photovoltaic solar plants, hydro plants through pumped storage, run of the river, tidal energy and wave energy and biomass or biofuel.",no
"There's a lot of hay to be made here with reducing back pressures on reservoirs, subsea lifting, subsea separation.",no
A lot of that has to do with how quickly our customers change their preferences to devices and whatnot and will -- can cost us to record additional charge.,no
"Generally, most of the programmes seek to promote energy efficiency in the buildings of customers and help to control their electricity consumption through various tools, allowing this consumption to be monitored.",yes
"As Chris mentioned, we're very focused on making sure that we deploy that capital as effectively as we possibly can in a way that's most accretive in terms of returning to growth.",no
"H2FUTURE aims to produce ''green” hydrogen, i.e. hydrogen that has been generated by renewable means from water using the so-called proton exchange membrane (PEM) electrolyte technology.",yes
"In wireless, Bell was also first to launch Gigabit-speed mobile service, and extended the latest wireless technology, LTE Advanced, to 91% of the population.",no
"We're feeling some of that pressure this year in our C5 resins with some capacity, and the prices have come off a bit.",no
"And again, as we've talked about repeatedly, we are very, very focused on driving cost efficiencies, and that's starting to show up in our results from a North American perspective.",no
"Increase was mainly attributable to capital expenditures related to the Rush Creek wind generation facility, partially offset by amounts for the Courtenay wind farm and less rabbi trust investments.",no
• We Love Green The environment is at the heart of Parisian electro-pop music festival We Love Green.,no
"Digitalization in farming can help us deploy our resources efficiently and sustainably, enabling farmers to get the best out of their fields with minimal environmental impact.",yes
Renewable hydrogen We have made significant progress on our renewable hydrogen pipeline over the past 18 months.,yes
"I'm not concerned about when we do that, our ability to understand the technology and scale it.",no
"To strengthen its approach, Kering’s SBT for a 1.5°C trajectory was revised and approved by the SBTi in early 2021.",yes
"We've continued our discussions with TxDOT, maybe this isn't the question you asked, but I'll go ahead and give you the flavor since you'll turn around, I think, and ask it anyway.",no
The particularity of this deal is that it included an adjustment mechanism linking the interest rate to the company's CO2 emissions.,no
This reduces KLP’s climate risk and makes it clear that our work has an effect on the climate.,no
